Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
E7C99C49E5634EC48B04DB6CEC58ADC1,"Use the vocabulary of theatre, such as pretend, imagination, movement, puppetry, and audience, to describe theatrical experiences.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
C0D9AB9B5E314D87BF320660CC3416AD,Development of the Vocabulary of Theatre,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
753C753885E941118D88AF1C7CA8D3B0,"Artistic Perception - Processing, Analyzing, and Responding to Sensory Information Through the Language and Skills Unique to Theatre",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
F638A2BC2E2B4A44A266AFF3073C1BF8,Theatre,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
81F44EDEAAA84E00BD31FA0E62587B35,Demonstrate an awareness of music as a part of daily life.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
2FD8B325BB7A42578BF726C04A03B645,Careers and Career-Related Skills,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FE8B4DFF87604C87A86AEF5B65C3FFB7,Improvise songs to accompany games and playtime activities.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FBDBB571CF744F7C827F67A57F09AC4C,Connections and Applications,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
3434075638DD47AE8E1302093133848A,"Connections, Relationships, Applications - Connecting and Applying What Is Learned in Music to Learning in Other Art Forms and Subject Areas and to Careers",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
E2D739DE87B2487AAD476905D41B7CAF,Participate freely in musical activities.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
AB5BFA71FFBC4191BFFAF6B479470C41,Create movements in response to music.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
5D04ECC6D7D24C8FA08338A840D7FB01,Derive Meaning,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
3202F532024E44408C7D048CF597BAEA,"Aesthetic Valuing - Responding to, Analyzing, and Making Judgments About Works of Music",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
F316B5D09FA2466CB418B99E750E3EF8,Use developmentally appropriate movements in responding to music from various genres and periods (rhythm).,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
955E570044DC4417BDEBF1CA95BAE406,Use a personal vocabulary to describe music from diverse cultures.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
9FDFF857354D4CE1BE408B50B28DEE34,Diversity of Music,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
7FDECF08C1D7471C9E61014190AB2A18,Historical and Cultural Context - Understanding the Historical Contributions and Cultural Dimensions of Music,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
87D0197D59D74E20964B15D1ED9222CE,"Improvise simple instrumental accompaniments to songs, recorded selections, stories, and poems.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
90C904762744429EA4A3CEBB3B1EB654,"Compose, Arrange, and Improvise",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
C9DD3D52CEC84059BF6C8B61056CA36B,"Use the voice to speak, chant, and sing.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
E56DB5E651EF4300BA24A64ECD11172F,Move or use body percussion to demonstrate awareness of beat and tempo.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
65F0EC7BF2BE47C7B7A74F22A9104622,Apply Vocal and Instrumental Skills,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
657E9C56B3D1482A8AF8DED63A227376,"Creative Expression - Creating, Performing, and Participating in Music",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
3717990E4614455BB8D0FD76D9B33B99,Use body movement to respond to dynamics and tempo.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
F5C6F911AAE442B98A0B635556CBF88A,Identify the sources of a wide variety of sounds.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
205E6E8DF56042B6B3BAB3F117312556,"Listen to, Analyze, and Describe Music",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
964C4142B6E3496CB3151535F43EBBB9,Use icons or invented symbols to represent musical sounds and ideas.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
813763E27A60438D98BA4372282E2C41,Read and Notate Music,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
12EFC4B5B9AF453E997025A0F6714197,"Artistic Perception - Processing, Analyzing, and Responding to Sensory Information Through the Language and Skills Unique to Music",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
44955C379B984C93B092F933A22B42C9,Music,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
4814993312ED4A68834396CA46FA999F,"Participate in dance games, sing songs, recite poems, and tell stories from countries around the world.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
78A0E82B47274C5098863FAC418195C1,Connections and Applications Across Disciplines,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
5CC44F8C86EB4E718FA7A16E8FD09096,"Connections, Relationships, Applications - Connecting and Applying What Is Learned in Dance to Learning in Other Art Forms and Subject Areas and to Careers",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
